"Annotation_Layer5","AUC_SENESC_PANEL_bin","cells","prop","GeneSet","AUC_SASP_bin","AUC_SENESCENCE_bin","AUC_P53_bin"
"LSEC_1","Inactive",506,0.251116625310174,"SENESC_PANEL",NA,NA,NA
"LSEC_1","Active",1509,0.748883374689826,"SENESC_PANEL",NA,NA,NA
"LSEC_2","Inactive",308,0.255813953488372,"SENESC_PANEL",NA,NA,NA
"LSEC_2","Active",896,0.744186046511628,"SENESC_PANEL",NA,NA,NA
"LSEC_3","Inactive",1313,0.754164273406088,"SENESC_PANEL",NA,NA,NA
"LSEC_3","Active",428,0.245835726593912,"SENESC_PANEL",NA,NA,NA
"LSEC_4","Inactive",473,0.814113597246127,"SENESC_PANEL",NA,NA,NA
"LSEC_4","Active",108,0.185886402753873,"SENESC_PANEL",NA,NA,NA
"LSEC_5","Inactive",320,0.583941605839416,"SENESC_PANEL",NA,NA,NA
"LSEC_5","Active",228,0.416058394160584,"SENESC_PANEL",NA,NA,NA
"LVEC","Inactive",375,0.421348314606742,"SENESC_PANEL",NA,NA,NA
"LVEC","Active",515,0.578651685393258,"SENESC_PANEL",NA,NA,NA
"LSEC_1",NA,446,0.221339950372208,"SASP","Inactive",NA,NA
"LSEC_1",NA,1569,0.778660049627792,"SASP","Active",NA,NA
"LSEC_2",NA,616,0.511627906976744,"SASP","Inactive",NA,NA
"LSEC_2",NA,588,0.488372093023256,"SASP","Active",NA,NA
"LSEC_3",NA,1492,0.856978747846065,"SASP","Inactive",NA,NA
"LSEC_3",NA,249,0.143021252153935,"SASP","Active",NA,NA
"LSEC_4",NA,206,0.354561101549053,"SASP","Inactive",NA,NA
"LSEC_4",NA,375,0.645438898450947,"SASP","Active",NA,NA
"LSEC_5",NA,334,0.60948905109489,"SASP","Inactive",NA,NA
"LSEC_5",NA,214,0.39051094890511,"SASP","Active",NA,NA
"LVEC",NA,301,0.338202247191011,"SASP","Inactive",NA,NA
"LVEC",NA,589,0.661797752808989,"SASP","Active",NA,NA
"LSEC_1",NA,555,0.275434243176179,"SENESCENCE",NA,"Inactive",NA
"LSEC_1",NA,1460,0.724565756823821,"SENESCENCE",NA,"Active",NA
"LSEC_2",NA,716,0.59468438538206,"SENESCENCE",NA,"Inactive",NA
"LSEC_2",NA,488,0.40531561461794,"SENESCENCE",NA,"Active",NA
"LSEC_3",NA,1187,0.681792073520965,"SENESCENCE",NA,"Inactive",NA
"LSEC_3",NA,554,0.318207926479035,"SENESCENCE",NA,"Active",NA
"LSEC_4",NA,170,0.292598967297762,"SENESCENCE",NA,"Inactive",NA
"LSEC_4",NA,411,0.707401032702238,"SENESCENCE",NA,"Active",NA
"LSEC_5",NA,396,0.722627737226277,"SENESCENCE",NA,"Inactive",NA
"LSEC_5",NA,152,0.277372262773723,"SENESCENCE",NA,"Active",NA
"LVEC",NA,442,0.496629213483146,"SENESCENCE",NA,"Inactive",NA
"LVEC",NA,448,0.503370786516854,"SENESCENCE",NA,"Active",NA
"LSEC_1",NA,348,0.172704714640199,"P53",NA,NA,"Inactive"
"LSEC_1",NA,1667,0.827295285359801,"P53",NA,NA,"Active"
"LSEC_2",NA,597,0.495847176079734,"P53",NA,NA,"Inactive"
"LSEC_2",NA,607,0.504152823920266,"P53",NA,NA,"Active"
"LSEC_3",NA,1617,0.928776565192418,"P53",NA,NA,"Inactive"
"LSEC_3",NA,124,0.0712234348075819,"P53",NA,NA,"Active"
"LSEC_4",NA,344,0.592082616179002,"P53",NA,NA,"Inactive"
"LSEC_4",NA,237,0.407917383820998,"P53",NA,NA,"Active"
"LSEC_5",NA,329,0.60036496350365,"P53",NA,NA,"Inactive"
"LSEC_5",NA,219,0.39963503649635,"P53",NA,NA,"Active"
"LVEC",NA,204,0.229213483146067,"P53",NA,NA,"Inactive"
"LVEC",NA,686,0.770786516853933,"P53",NA,NA,"Active"
